33 Taps,1500,200,CA55374,(630) 798-2477,7360 E. Poor House Drive,San Jose,CA
ABV,1300,100,TX56461,(500) 460-9776,803 Bedford Drive,San Antonio,TX
Academia,1400,200,TX89768,(352) 740-1636,29 Sunnyslope Ave.,El Paso,TX
AIDA Bistro & Wine Bar,1200,300,MI99487,(761) 722-6766,707 Kent Road,Detroit,MI
Altitude Sky Lounge,1500,200,MA10368,(560) 570-4337,335 W. Thompson St.,Boston,MA
Anvil Bar & Refuge,1400,200,TX79923,(800) 434-5299,8034 Sycamore St.,El Paso,TX
Apotheke,1200,400,MI47860,(237) 824-0214,480 Harrison St.,Detroit,MI
Attaboy,1400,200,IL83435,(547) 318-7158,9503 Pulaski St.,Chicago,IL
B.D. Riley's,1400,100,OH77385,(919) 404-3621,986 Golden Star St.,Columbus,OH
BackBar,1500,100,TX16724,(291) 302-6714,59 Penn St.,San Antonio,TX
Bar Agricole,1200,200,CA54886,(318) 419-5407,46 Princeton Drive,San Diego,CA
Bar Crudo,1300,300,PA85402,(700) 545-8100,855 Jennings Drive,Philadelphia,PA
Bar Goto,1500,400,CA21915,(399) 855-9807,4 West Golf Street,Los Angeles,CA
Bar Liquorice,1500,300,MI66631,(849) 931-0584,753 Tallwood Street,Detroit,MI
Barmini,1200,300,MI27938,(736) 585-0378,350 Rocky River Dr.,Detroit,MI
Barnacle Bar,1400,100,IN70347,(461) 899-2670,537 Lyme St.,Indianapolis,IN
Beach Tree Bar,1300,300,TX94825,(286) 910-6676,551 Brown Street,El Paso,TX
Big Bar,1400,400,MA34078,(239) 517-0025,8483 East Pendergast St.,Boston,MA
Billy Sunday,1500,300,WA38833,(580) 389-0660,427 North Littleton Ave.,Seattle,WA
Bit House Saloon,1200,100,TX32707,(937) 601-4878,444 Jones Ave.,San Antonio,TX
Blackberry Farm,1500,400,WA75675,(357) 421-7433,9936 Gainsway St.,Seattle,WA
BlackTail,1500,100,TX48302,(450) 263-5164,3 Hudson Ave.,Houston,TX
Brimmer & Heeltap,1300,100,PA14245,(594) 970-1006,14 Shore Drive,Philadelphia,PA
