7.59,Club No Minors,Buffalo wings
8.37,Club No Minors,Icehouse
10.53,Club No Minors,Artichokes
10.14,Club No Minors,Old Style
10.51,Club No Minors,Schlitz
5.78,Club No Minors,Natural Light
6.24,Club No Minors,Busch
4.85,Club No Minors,Miller Lite
8.97,Club No Minors,Grilled Chicken Sandwich
7.2,Club No Minors,Chips and Salsa
12.74,Club No Minors,Ballast Point
10.21,Club No Minors,Old Style
9.13,Club No Minors,Delirium
6.1,Club No Minors,Buffalo wings
2,Club No Minors,Mozzarella sticks
7.78,Club No Minors,Pizza
5.73,Club No Minors,Modelo Especial
4.74,Club No Minors,Budweiser
10.71,Club No Minors,Onion rings
12.14,Club No Minors,Stone Brewing Co.
3.99,Club No Minors,Meatball Sandwich
9.25,Club No Minors,Dogfish Head
7.31,Club No Minors,Yuengling Lager
9.67,Club No Minors,Leinenkugels
7.51,Club No Minors,Buffalo wings
7.72,Wally's Mills Liquors,Blue Moon
9.59,Wally's Mills Liquors,Leinenkugels
5.76,Wally's Mills Liquors,Natural Light
2.91,Wally's Mills Liquors,Onion rings
9.69,Wally's Mills Liquors,Jalapeno popper
4.61,Wally's Mills Liquors,Budweiser
6.2,Wally's Mills Liquors,Meatball Sandwich
6.8,Wally's Mills Liquors,Stella Artois
11.33,Wally's Mills Liquors,Meatball Sandwich
5.7,Wally's Mills Liquors,Modelo Especial
12.95,Wally's Mills Liquors,Lagunitas
9.95,Wally's Mills Liquors,Old Milwaukee
8,Wally's Mills Liquors,Chips and Salsa
6.18,Wally's Mills Liquors,Chips and Salsa
12,Wally's Mills Liquors,Stone Brewing Co.
7.06,Wally's Mills Liquors,Pabst Blue Ribbon
7.1,Wally's Mills Liquors,Pabst Blue Ribbon
4.71,Wally's Mills Liquors,Budweiser
6.65,Wally's Mills Liquors,Meatball Sandwich
9.7,Wally's Mills Liquors,Leinenkugels
4.04,Wally's Mills Liquors,Bud Light
13.25,Wally's Mills Liquors,Tree House
11.75,Wally's Mills Liquors,Landshark
4.16,Wally's Mills Liquors,Bud Light
10.58,Wally's Mills Liquors,Schlitz
3.38,Mario's Fishbowl,Jalapeno popper
10.44,Mario's Fishbowl,Hamm's
12.62,Mario's Fishbowl,Ballast Point
13.63,Mario's Fishbowl,Firestone Walker
6.55,Mario's Fishbowl,Keystone Light
11.27,Mario's Fishbowl,Goose Island
3.37,Mario's Fishbowl,Artichokes
9.19,Mario's Fishbowl,Onion rings
9.99,Mario's Fishbowl,Grilled Chicken Sandwich
7.2,Mario's Fishbowl,Pabst Blue Ribbon
9.47,Mario's Fishbowl,Grilled Chicken Sandwich
10.71,Mario's Fishbowl,Schlitz
11.68,Mario's Fishbowl,Elysian
9.56,Mario's Fishbowl,Leinenkugels
7.75,Mario's Fishbowl,Meatball Sandwich
4.63,Mario's Fishbowl,Budweiser
11.79,Mario's Fishbowl,Landshark
11.39,Mario's Fishbowl,Goose Island
11.39,Mario's Fishbowl,Quesadillas
10.59,Mario's Fishbowl,Schlitz
13.69,Mario's Fishbowl,Firestone Walker
11.87,Mario's Fishbowl,Grilled Chicken Sandwich
3.75,Mario's Fishbowl,Cheese Steak
12.86,Mario's Fishbowl,Lagunitas
6.13,Mario's Fishbowl,Busch
3.14,Frankie's Downtown,Buffalo wings
9.71,Frankie's Downtown,Leinenkugels
4.63,Frankie's Downtown,Budweiser
12.38,Frankie's Downtown,Sierra Nevada
9.24,Frankie's Downtown,Delirium
4.3,Frankie's Downtown,Coors Light
11.06,Frankie's Downtown,River Horse
13,Frankie's Downtown,Brooklyn Brewery
11.93,Frankie's Downtown,Landshark
11.06,Frankie's Downtown,River Horse
6.55,Frankie's Downtown,Keystone Light
13.68,Frankie's Downtown,Firestone Walker
7.17,Frankie's Downtown,Pabst Blue Ribbon
12.29,Frankie's Downtown,Sierra Nevada
11.93,Frankie's Downtown,Grilled Chicken Sandwich
13.12,Frankie's Downtown,Brooklyn Brewery
3.96,Frankie's Downtown,Pizza
11.2,Frankie's Downtown,Cheese Steak
11.11,Frankie's Downtown,River Horse
5.61,Frankie's Downtown,Modelo Especial
3.25,Frankie's Downtown,Jalapeno popper
9.72,Frankie's Downtown,Leinenkugels
10.05,Frankie's Downtown,Chicken fingers
10.74,Frankie's Downtown,Schlitz
7.05,Frankie's Downtown,Pabst Blue Ribbon
6.46,The Capital Bar,Heineken
3.57,The Capital Bar,Shrimp
9.22,The Capital Bar,Delirium
6.74,The Capital Bar,Keystone Light
6.64,The Capital Bar,Keystone Light
5.61,The Capital Bar,Modelo Especial
7.35,The Capital Bar,Yuengling Lager
13.32,The Capital Bar,Tree House
6.43,The Capital Bar,Heineken
5.13,The Capital Bar,Corona
13.1,The Capital Bar,Brooklyn Brewery
7.71,The Capital Bar,Pizza
7.28,The Capital Bar,Yuengling Lager
5.84,The Capital Bar,Natural Light
12.86,The Capital Bar,Lagunitas
9.21,The Capital Bar,Delirium
11.65,The Capital Bar,Elysian
2.2,The Capital Bar,French fries
2.39,The Capital Bar,Quesadillas
6.32,The Capital Bar,Buffalo wings
12.08,The Capital Bar,Stone Brewing Co.
7.13,The Capital Bar,Chicken fingers
6.67,The Capital Bar,Burger sliders
6.1,The Capital Bar,Busch
13.34,The Capital Bar,Tree House
3.34,Salty Dawg Saloon,Chicken fingers
2,Salty Dawg Saloon,French fries
4.57,Salty Dawg Saloon,Budweiser
10.21,Salty Dawg Saloon,Old Style
2.24,Salty Dawg Saloon,Chicken fingers
6.85,Salty Dawg Saloon,Stella Artois
11.49,Salty Dawg Saloon,Goose Island
2.99,Salty Dawg Saloon,French fries
9.11,Salty Dawg Saloon,Delirium
5.67,Salty Dawg Saloon,Modelo Especial
5.09,Salty Dawg Saloon,Corona
8.41,Salty Dawg Saloon,Icehouse
7.61,Salty Dawg Saloon,Blue Moon
13.97,Salty Dawg Saloon,Bravus
2.81,Salty Dawg Saloon,Meatball Sandwich
5.21,Salty Dawg Saloon,Corona
2.67,Salty Dawg Saloon,Onion rings
10.56,Salty Dawg Saloon,Schlitz
2.06,Salty Dawg Saloon,Shrimp
2.28,Salty Dawg Saloon,Artichokes
9.21,Salty Dawg Saloon,Delirium
11.73,Salty Dawg Saloon,Elysian
8.15,Salty Dawg Saloon,Meatball Sandwich
13.85,Salty Dawg Saloon,Bravus
12.53,Salty Dawg Saloon,Ballast Point
5.38,Kon Tiki Lounge,Michelob Ultra
10.33,Kon Tiki Lounge,Hamm's
13.76,Kon Tiki Lounge,Bravus
10.72,Kon Tiki Lounge,Mozzarella sticks
7.33,Kon Tiki Lounge,Yuengling Lager
4.41,Kon Tiki Lounge,Coors Light
13.79,Kon Tiki Lounge,Bravus
4.32,Kon Tiki Lounge,Coors Light
7.53,Kon Tiki Lounge,Blue Moon
5.84,Kon Tiki Lounge,Natural Light
6.1,Kon Tiki Lounge,Busch
10.95,Kon Tiki Lounge,New Belgium
11.44,Kon Tiki Lounge,Goose Island
6.34,Kon Tiki Lounge,Heineken
9.89,Kon Tiki Lounge,Quesadillas
8.32,Kon Tiki Lounge,Icehouse
7.1,Kon Tiki Lounge,Pabst Blue Ribbon
6.53,Kon Tiki Lounge,Keystone Light
